id,direccion,tipo,uso,superficie,ano_construccion,categoria,potencialadquisicion,noticiastate,responsable,encargostate,coordinates,zona,date_time,inmuebleimages,location,habitaciones,garaje,descripcion,ascensor,banyos,trastero,jardin,terraza,aireacondicionado,tipoagrupacion,nestedinmuebles,nestedescaleras,localizado,localizado_phone
10012,CL REINA 20,Urbano,Residencial,133,1920,NULL,0,false,Jaime Alcon,false,"[""39.39935261970849"",""39.40205058029149"",""-0.4019327302915021"",""-0.399234769708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10013,CL REINA 22,Urbano,Residencial,0,1920,NULL,0,false,Jaime Alcon,false,"[""39.39937116970851"",""39.40206913029151"",""-0.402419880291502"",""-0.3997219197084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10014,CL REINA 24,Urbano,Residencial,137,2003,NULL,0,false,Jaime Alcon,false,"[""39.39937116970851"",""39.40206913029151"",""-0.402419880291502"",""-0.3997219197084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10015,CL REINA 26,Urbano,Residencial,127,1970,NULL,0,false,Jaime Alcon,false,"[""39.39937116970851"",""39.40206913029151"",""-0.402419880291502"",""-0.3997219197084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10016,CL PEZ EL 21,Urbano,Industrial,86,1920,NULL,0,false,Jaime Alcon,false,"[""39.39892021970849"",""39.40161818029149"",""-0.401993030291502"",""-0.3992950697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10017,CL PEZ EL 19,Urbano,Industrial,108,1920,NULL,0,false,Jaime Alcon,false,"[""39.39892021970849"",""39.40161818029149"",""-0.401993030291502"",""-0.3992950697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10018,CL PEZ EL 17,Urbano,Residencial,77,1970,NULL,0,false,Jaime Alcon,false,"[""39.39892021970849"",""39.40161818029149"",""-0.401993030291502"",""-0.3992950697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10019,CL PEZ EL 15,Urbano,Residencial,67,1920,NULL,0,false,Jaime Alcon,false,"[""39.39892021970849"",""39.40161818029149"",""-0.401993030291502"",""-0.3992950697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10020,CL PLACETAS 25,Urbano,Residencial,133,2020,NULL,0,false,Jaime Alcon,false,"[""39.39912176970849"",""39.40181973029149"",""-0.402443380291502"",""-0.3997454197084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10021,CL ALQUERIA LA 34,Urbano,Residencial,166,1900,NULL,0,false,Jaime Alcon,false,"[""39.4001004197085"",""39.4027983802915"",""-0.4012592802915021"",""-0.398561319708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10022,AV CAMI REIAL 106,Urbano,Industrial,109,1984,NULL,0,false,Jaime Alcon,false,"[""39.3988256197085"",""39.4015235802915"",""-0.4060850302915021"",""-0.403387069708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10023,AV CAMI REIAL 110,Urbano,Residencial,103,1978,NULL,0,false,Jaime Alcon,false,"[""39.4022052197085"",""39.40490318029149"",""-0.4043196802915021"",""-0.401621719708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10024,AV CAMI REIAL 118,Urbano,Residencial,125,1920,NULL,0,false,Jaime Alcon,false,"[""39.4022052197085"",""39.40490318029149"",""-0.4043196802915021"",""-0.401621719708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10025,AV CAMI REIAL 120,Urbano,Residencial,118,1920,NULL,0,false,NULL,false,"[""39.3983750197085"",""39.4010729802915"",""-0.4062440802915021"",""-0.403546119708498""]",NULL,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
